custconc,P7Index_1,P7Index_2,P7Index_4,P7Index_5,P7Index_6,P7Index_7,P7Index_8,P7Index_9,P7Index_10,P7Index_11,P5Index_1,P5Index_2,P5Index_3,P5Index_4,P5Index_5,P5Index_6,P5Index_7,iconc,itwosixty_twoeighty,itwosixty_twothirty,iRNA,iSize,iAve,ioutlier,istd,icd5,Conc_FA,RQN,28S_18S,ul_Buffer,filiconc,filitwosixty_twoeighty,fili260_230 ,fliiYield,filiSize,filiAve,filiOutlier,filiStd,filicv5
58.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58.33,1.97,2.8,17.14383679,338,9.27,0,0.11,0.01,38.9103,3.5,1.3,2.96,4.45,1.53,8.35,133.5,338,8.899073809,1,0.436593316,0.049060534
99.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99.27,1.92,3.05,10.07353682,369,11.34,0,0.34,0.03,43.1062,10,2.4,3.17,20.22,1.57,2.44,606.6,369,8.319625996,0,0.245172875,0.029469218
71.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.34,2.07,3.02,14.01738155,390,12.85,0,0.56,0.04,29.8894,10,2,2,18.33,1.74,2.54,549.9,395,13.18175813,1,0.053178513,0.00403425
93.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,93.57,2.1,2.3,10.68718606,360,15.37,0,0.1,0.01,31.6956,9.3,1.5,2.75,32.78,1.87,2.34,983.4,360,8.862058496,0,0.192604532,0.021733611
40.82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40.82,1.83,2.35,24.4977952,372,12.18,1,0.32,0.03,9.9693,10,2.1,2.23,17,1.78,2.5,510,372,10.92857531,1,0.426788877,0.039052563
36.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.95,1.96,2.35,27.06359946,375,15.08,0,0.41,0.03,12.638,10,2.2,2.62,39.85,1.86,2.32,1195.5,375,9.304320788,1,0.185940555,0.019984323
74.81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.81,2.03,2.5,13.3671969,378,15.11,1,0.12,0.01,26.8041,10,2.3,2.59,31.3,1.86,2.38,939,378,9.396230763,0,0.164854109,0.017544706
82.39,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82.39,1.93,2.6,12.13739531,371,17.1,1,0.36,0.02,34.7231,8.8,1.6,3.25,32.97,1.82,2.28,989.1,371,7.501214423,1,0.018411383,0.002454454
57.77,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57.77,1.97,2.46,17.3100225,368,13.62,0,0.4,0.03,26.7895,10,2.3,2.92,27.46,1.97,2.14,823.8,368,8.342985864,1,0.152926743,0.018329977
67.97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,67.97,1.86,6.28,14.71237311,368,15.96,1,0.42,0.03,21.6952,9.8,1.2,3.51,14.07,2.96,3.11,422.1,368,8.337481856,0,0.312822223,0.037519988
48.12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,48.12,2.03,4.22,20.78137988,374,12.84,1,1.16,0.09,21.7156,9.1,1.1,2.48,34.83,2.34,2.88,1044.9,374,11.80184909,0,0.575956255,0.048802205
53.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,53.05,2.1,6.17,18.85014138,384,14.77,1,0.83,0.06,29.9788,9.3,1.4,2.74,35.31,2.15,2.58,1059.3,384,10.68122256,0,0.418526495,0.039183389
113.01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,113.01,2.02,2.61,8.848774445,367,13.08,0,0.43,0.03,54.4679,10,2.2,2.77,26.09,1.8,2.27,782.7,367,8.777496681,0,0.387942252,0.044197368
107.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,107.6,2.02,2.49,9.293680297,367,12.5,1,0.07,0.01,37.4723,10,2.6,2.66,21.98,1.72,2.16,659.4,367,9.153815582,1,0.007114006,0.000777163
93.26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,93.26,2.01,2.5,10.7227107,365,13.54,0,0.63,0.05,33.4827,10,2.2,2.51,26.15,1.87,2.24,784.5,365,9.693663173,1,0.14773174,0.015240032
92.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92.55,2.01,2.54,10.80497029,364,13.51,0,0.31,0.02,19.0119,10,2.2,2.53,22.57,1.93,2.32,677.1,364,9.610636759,1,0.238742598,0.024841496
65.17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65.17,2.02,2.46,15.34448366,360,11.45,1,0.25,0.02,25.9292,10,2.5,2.4,26.65,1.89,2.42,799.5,360,10.15952973,0,0.24687468,0.024299814
45.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.9,1.96,2.27,21.78649237,372,13.38,0,0.36,0.03,19.6239,9.8,2,2.57,37.96,1.84,2.19,1138.8,372,9.480364379,0,0.085282919,0.008995743
87.51,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,87.51,1.96,2.95,11.42726546,361,20.43,0,0.78,0.04,57.2727,10,2,3.36,30.9,1.75,2.43,927,361,7.83755289,0,0.102010743,0.013015637
61.26,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61.26,2.04,2.36,16.32386549,363,15.55,0,0.31,0.02,53.2523,9.5,1.5,3.14,21.53,2.01,2.45,645.9,363,8.394204473,1,0.075647119,0.009011827
61.9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,61.9,2.02,2.82,16.15508885,363,13.37,1,0.01,0,66.5049,9,1.5,3.21,8.74,1.92,3.12,262.2,363,8.224285043,1,0.004404921,0.000535599
97.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,97.75,1.95,4.77,10.23017903,366,18.96,1,0.77,0.04,61.4109,10,1.8,3.35,23.34,2.29,2.99,700.2,366,8.718597324,0,0.340676464,0.039074687
70.32,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,70.32,1.84,6.4,14.22070535,388,16.64,0,0.52,0.03,24.5233,10,2,3.46,35.4,2.12,2.59,1062,388,8.437793708,0,0.312222011,0.037002802
115.57,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,115.57,1.87,4.22,8.652764558,374,13.77,0,0.58,0.04,78.7211,10,1.6,2.99,41.37,2.19,2.64,1241.1,374,9.758015561,1,0.188594224,0.019327108
97.69,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,97.69,1.91,2.57,10.23646228,380,11.1,1,0.5,0.05,46.6361,10,2.3,2.81,16.18,1.78,2.26,485.4,380,8.6765981,1,0.250170026,0.028832732
